ID,SEXO,IDADE,INSTX,REGIAO,UF,REG,COND,PORTE,F01,F02_IDADE,F02_FAIXA,F02_FX,F03,ALFAB,INST,P1_1_1,P1_1_0,P1_1_4,P1_1_2,P1_2_1_1,P1_2_1_2,P1_2_2,P1_1_6,P1_1_5,P1_2_3,P1_2_4,P2_2_2_1,P2_2_2_2,P2_2_2_3,P1_1_7_1,P1_1_7_2,P1_1_7_3,P1_1_7_4,P1_1_7_5,P1_1_7_6,P1_1_7_7,P2_1_0,P2_1_1,P2_1_6,P2_1_4_1,P2_1_4_2,P2_1_4_3,P2_1_3,P2_1_2_1,P2_1_2_2,P2_1_2_3,P2_1_2_4,P2_1_2_5,P2_2_3_1,P2_2_3_2,P2_2_3_3,RAÇA,RELIGIAO,P2_1_9,INTERNET,INTERNET1_1,INTERNET1_2,INTERNET1_3,INTERNET1_4,INTERNET1_5,INTERNET1_6,INTERNET2_1,INTERNET2_2,P2_1_8_1,P2_1_8_2,P2_1_8_3,P2_1_8_4,P2_1_8_5,P2_1_8_6,P2_1_8_7,P2_1_8_8,C2,C3,C4,CLASSE,FATOR_POND
5451,2,4,3,3,11,3,3,3,2,36,4,4,SENHORA DOS REMÉDIOS - MG,1,14,1,2,1,1,1, ,1,1,1,1,6,1,2,3,1,2,1,2,1,1,1,1,1,3, , , ,1,1,1,1,1,3,4,1,2,4,1,4,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,3,4,"1,18392"
5492,2,3,4,4,23,4,2,6,2,25,3,3,VIAMÃO - RS,1,15,1,1,1,1,1, ,1,1,1,1,4,2,3,1,1,2,1,1,1,1,1,2,1,3, , , ,1,1,1,3,1,3,3,1,2,1,11,4,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,3,2,4,6,"2,37475"
5835,1,5,3,3,11,3,1,7,1,53,5,5,BELO HORIZONTE - MG,1,14,1,3,1,1,1, ,1,1,1,2,6,3,1,4,1,2,1,2,2,1,1,1,1,1, , , ,1,1,1,1,1,3,3,1,4,3,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,4,4,"1,25441"
5864,2,4,2,3,26,3,3,7,2,44,4,4,SOROCABA - SP,1,8,1,2,1,1,1, ,1,1,1,1,1,2,1,3,1,2,2,2,2,1,1,1,1,2,3,4, ,1,1,1,1,1,3,3,1,2,3,1,5,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,3,4,"1,08393"
5866,1,6,2,3,11,3,2,3,1,69,6,6,SÃO JOSÉ DA LAPA - MG,1,9,1,3,1,1,1, ,1,1,1,1,7,1,2,3,1,2,2,2,2,2,1,1,1,2,3,8,7,1,2,1,1,1,3,3,2,4,3,1,3,2, , , , , , , , ,1,1,2,2,1,2,2,1,1,1,2,4,"1,10024"
6623,2,6,4,2,5,2,3,7,2,56,6,6,FEIRA DE SANTANA - BA,1,16,1,2,1,1,1, ,1,1,1,1,7,2,1,3,2,2,2,2,1,2,1,1,1,3, , , ,1,1,1,1,2,3,3,4,2,3,3,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,5,4,"1,13495"
7053,2,5,4,3,26,3,3,5,2,45,5,5,ITAPEVA - SP,1,16,1,3,1,1,1, ,2,1,1,1,5,1,3,2,2,2,2,1,2,1,1,1,1,2,3,2,7,1,1,1,1,1,3,3,1,4,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,5,2,"0,72774"
7251,2,4,3,4,24,4,3,3,2,42,4,4,RODEIO - SC,1,13,1,4,5,1,2, ,1,1,4,1,4,2,4,1,1,2,2,2,1,2,2,2,1,2,1,8,4,3,1,1,1,1,3,2,1,4,1,1,3,1,2,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,3,5,"1,31438"
7898,2,5,3,3,26,3,1,7,2,46,5,5,SÃO PAULO - SP,1,14,2,1,1,1,3, ,1,1,2,1,7,1,2,4,1,2,1,2,2,2,1,1,1,2,6,3,4,3,1,3,3,3,3,6, , ,3,1,3,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,"0,24754"
8318,2,3,4,4,24,4,3,7,2,32,3,3,JOINVILLE - SC,1,16,1,1,1,1,1, ,1,1,1,1,1,3,1,2,1,2,1,2,1,2,1,1,1,2,2,1,7,1,1,1,1,3,2,3,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,"0,38181"
